,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,TL
509,20851586,26 Ağustos 2022,Volkswagen,Jetta,1.6 TDi Comfortline,2013,193.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,1 boyalı,Takasa Uygun,Sahibinden,382.000
510,20851027,26 Ağustos 2022,Ford,Focus,1.5 TDCi Trend X,2018,83.588 km,Düz,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"3,8 lt",55 lt,2 değişen,Takasa Uygun Değil,Sahibinden,530.000
511,20854067,26 Ağustos 2022,Fiat,Egea,1.4 Fire Easy,2021,15.000 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"6,4 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,440.000
512,20435631,26 Ağustos 2022,Ford,Focus,1.6 Ti-VCT Trend X,2017,55.000 km,Yarı Otomatik,LPG & Benzin,Sedan,1596 cc,125 hp,Önden Çekiş,"6,3 lt",55 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,445.000
513,20401961,26 Ağustos 2022,Fiat,Egea,1.3 Multijet Easy,2019,66.239 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,406.900
514,20851503,26 Ağustos 2022,Ford,Focus,1.5 TDCi Trend X,2021,9.000 km,Otomatik,Dizel,Sedan,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,719.000
515,19741812,26 Ağustos 2022,Volkswagen,Jetta,1.6 TDi Trendline,2013,210.000 km,Düz,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,5 lt",55 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,355.000
516,20404216,26 Ağustos 2022,Mercedes - Benz,C,C 200 D AMG,2020,22.000 km,Otomatik,Dizel,Sedan,1598 cc,160 hp,Arkadan İtiş,"4,2 lt",66 lt,1 değişen,Takasa Uygun,Galeriden,1.620.900
517,20852518,26 Ağustos 2022,Ford,Fiesta,1.4 TDCi Trend,2011,192.000 km,Düz,Dizel,Hatchback/5,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"3 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,210.000
518,20852872,26 Ağustos 2022,Peugeot,301,1.6 HDi Active,2017,130.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",50 lt,3 değişen,Takasa Uygun Değil,Sahibinden,275.000
519,20469659,26 Ağustos 2022,Kia,Rio,1.5 CRDi EX Comfort,2006,224.000 km,Düz,Dizel,Hatchback/5,1493 cc,110 hp,Önden Çekiş,"4,7 lt",45 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,182.000
520,20853567,26 Ağustos 2022,Skoda,SuperB,1.6 TDI Prestige,2015,135.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,"2 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,615.000
521,20854422,26 Ağustos 2022,Ford,Focus,1.5 TDCi Trend X,2018,80.553 km,Yarı Otomatik,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,512.500
522,20850931,26 Ağustos 2022,Peugeot,206,1.4 X-Design,2006,199.800 km,Düz,LPG & Benzin,Hatchback/5,1360 cc,76 hp,Önden Çekiş,"6,9 lt",50 lt,"1 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,150.000
523,20853057,26 Ağustos 2022,Seat,Ibiza,1.4 Reference,2014,198.490 km,Düz,LPG & Benzin,Hatchback/5,1390 cc,85 hp,Önden Çekiş,"5,9 lt",45 lt,3 değişen,Takasa Uygun Değil,Sahibinden,240.000
524,20852157,26 Ağustos 2022,Skoda,Fabia,1.4 Comfort,2001,220.000 km,Düz,LPG & Benzin,Hatchback/5,1397 cc,68 hp,Önden Çekiş,"6,9 lt",45 lt,"1 değişen, 12 boyalı",Takasa Uygun Değil,Sahibinden,140.000
525,20850872,26 Ağustos 2022,BMW,3 Serisi,316i Technology,2013,176.000 km,Otomatik,Benzin,Sedan,1598 cc,136 hp,Arkadan İtiş,"5,8 lt",60 lt,"3 değişen, 5 boyalı",Takasa Uygun,Sahibinden,532.500
526,20853095,26 Ağustos 2022,Tofaş,Şahin,1.6,1993,60.000 km,Düz,LPG & Benzin,Sedan,1581 cc,51 - 75 HP,Arkadan İtiş,0 lt,52 lt,12 boyalı,Takasa Uygun Değil,Sahibinden,72.500
527,20852666,26 Ağustos 2022,Ford,Focus,1.6 TDCi Trend X,2013,115.000 km,Düz,Dizel,Sedan,1560 cc,95 hp,Önden Çekiş,"4,2 lt",53 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,290.000
528,20852695,26 Ağustos 2022,Volkswagen,Passat,1.5 TSi Business,2021,12.000 km,Yarı Otomatik,Benzin,Sedan,1498 cc,150 hp,Önden Çekiş,"5,3 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,910.000
529,20828402,26 Ağustos 2022,Citroen,C3,1.4 SX,2005,198.370 km,Otomatik,Benzin,Hatchback/5,1360 cc,73 hp,Önden Çekiş,"6,8 lt",47 lt,5 değişen,Takasa Uygun Değil,Sahibinden,177.000
530,20851922,26 Ağustos 2022,Kia,Rio,1.4 CRDi Natty,2014,76.000 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"4,5 lt",43 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,315.000
531,20853190,26 Ağustos 2022,Honda,Accord,2.2 EX,1994,211.000 km,Otomatik,LPG & Benzin,Sedan,2156 cc,147 hp,Önden Çekiş,0 lt,65 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,158.000
532,20854305,26 Ağustos 2022,Renault,R 9,1.4 Spring,1994,302.000 km,Düz,LPG & Benzin,Sedan,1390 cc,72 hp,Önden Çekiş,0 lt,47 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,65.000
533,20854346,26 Ağustos 2022,Chevrolet,Lacetti,1.4 SE,2009,147.500 km,Düz,LPG & Benzin,Hatchback/5,1399 cc,95 hp,Önden Çekiş,"7,2 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,184.900
534,20853965,26 Ağustos 2022,Volkswagen,Scirocco,1.4 TSi Sportline,2013,196.000 km,Yarı Otomatik,Benzin,Coupe,1390 cc,160 hp,Önden Çekiş,"6,3 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,399.000
535,20854353,26 Ağustos 2022,Toyota,Corolla,1.4 D-4D Touch,2017,72.182 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,3 boyalı,Takasa Uygun,Galeriden,472.500
536,20852094,26 Ağustos 2022,Opel,Astra,1.3 CDTI Enjoy,2010,165.500 km,Yarı Otomatik,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,5 lt,52 lt,"4 değişen, 6 boyalı",Takasa Uygun,Sahibinden,272.000
537,20853469,26 Ağustos 2022,Volkswagen,Golf,1.6 FSi Comfortline,2006,56.000 km,Düz,Benzin,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"6,7 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,295.000
538,20851791,26 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Attraction,2017,162.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,278.000
539,20851347,26 Ağustos 2022,Renault,Fluence,1.5 dCi Touch Plus,2016,138.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,7 boyalı,Takasa Uygun Değil,Sahibinden,367.000
540,20853864,26 Ağustos 2022,Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,2016,104.000 km,Yarı Otomatik,Benzin,Sedan,1395 cc,125 hp,Önden Çekiş,5 lt,55 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,515.000
541,20853076,26 Ağustos 2022,Fiat,Linea,1.3 Multijet Pop,2015,138.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,"1 değişen, 2 boyalı",Takasa Uygun,Sahibinden,238.000
542,20851120,26 Ağustos 2022,BMW,3 Serisi,320d Modern Line,2012,172.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,"4,4 lt",57 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,715.000
543,20851091,26 Ağustos 2022,Renault,Fluence,1.5 dCi Touch,2014,270.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"4,5 lt",60 lt,"1 değişen, 7 boyalı",Takasa Uygun Değil,Sahibinden,255.000
544,20851607,26 Ağustos 2022,Skoda,Octavia,1.6 Tour,2006,198.600 km,Düz,LPG & Benzin,Hatchback/5,1595 cc,102 hp,Önden Çekiş,"7,1 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,246.500
545,20851517,26 Ağustos 2022,Kia,Rio,1.25 CVVT Fancy,2014,124.000 km,Düz,LPG & Benzin,Hatchback/5,1248 cc,85 hp,Önden Çekiş,"5,1 lt",43 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,289.000
546,20851117,26 Ağustos 2022,Ford,Fiesta,1.4 TDCi Titanium,2011,178.000 km,Düz,Dizel,Hatchback/5,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"2 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,242.500
547,20851052,26 Ağustos 2022,Citroen,C3,1.4 SX,2003,272.000 km,Düz,Benzin,Hatchback/5,1360 cc,76 hp,Önden Çekiş,"6,2 lt",45 lt,1 boyalı,Takasa Uygun,Sahibinden,165.000
548,20852425,26 Ağustos 2022,Toyota,Corolla,1.4 D-4D Elegant,2010,112.500 km,Yarı Otomatik,Dizel,Sedan,1365 cc,90 hp,Önden Çekiş,"4,9 lt",55 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,359.950
549,20852197,26 Ağustos 2022,Renault,Symbol,1.2 Authentique Edition,2012,148.500 km,Düz,LPG & Benzin,Sedan,1149 cc,75 hp,Önden Çekiş,"5,9 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,215.000
550,20851084,26 Ağustos 2022,Renault,Clio,1.5 dCi Icon,2015,107.000 km,Düz,Dizel,Hatchback/5,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,"2 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,345.000
551,20852353,26 Ağustos 2022,Dacia,Sandero,1.5 dCi Stepway,2017,112.000 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,400.000
552,20852269,26 Ağustos 2022,Fiat,Brava,1.6 ELX,2000,350.000 km,Düz,LPG & Benzin,Hatchback/5,1581 cc,103 hp,Önden Çekiş,"7,8 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,95.000
553,20815071,26 Ağustos 2022,BMW,3 Serisi,316ti Compact,2003,270.000 km,Düz,LPG & Benzin,Hatchback/3,1596 cc,115 hp,Arkadan İtiş,"7,9 lt",63 lt,Belirtilmemiş,Takasa Uygun,Galeriden,168.000
554,20792197,26 Ağustos 2022,Fiat,Egea,1.4 Fire Easy Plus,2022,2.000 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"6,4 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,410.000
555,20792146,26 Ağustos 2022,Hyundai,Accent Blue,1.6 CRDI Mode,2014,175.000 km,Otomatik,Dizel,Sedan,1582 cc,128 hp,Önden Çekiş,"5,6 lt",43 lt,Belirtilmemiş,Takasa Uygun,Galeriden,275.000
556,20209811,26 Ağustos 2022,Chevrolet,Cruze,1.6 LS,2011,155.000 km,Düz,Benzin,Hatchback/5,1598 cc,124 hp,Önden Çekiş,"6,6 lt",60 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,270.000
557,20853968,26 Ağustos 2022,Renault,Clio,1.5 dCi Grandtour Extreme,2012,31.340 km,Düz,Dizel,Station wagon,1461 cc,90 hp,Önden Çekiş,"4,4 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,322.000
558,20443770,26 Ağustos 2022,Mercedes - Benz,E,180 Exclusive,2022,64 km,Otomatik,Dizel,Sedan,1595 cc,156 hp,Arkadan İtiş,"6,5 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,2.990.000
559,20853551,26 Ağustos 2022,Volvo,V40,1.6 D Premium,2015,98.500 km,Yarı Otomatik,Dizel,Hatchback/5,1560 cc,115 hp,Önden Çekiş,"3,9 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,610.000
560,20441429,26 Ağustos 2022,Mercedes - Benz,C,C 180 AMG 7G-Tronic,2015,78.762 km,Otomatik,Benzin,Sedan,1595 cc,156 hp,Arkadan İtiş,"5,8 lt",41 lt,1 boyalı,Takasa Uygun Değil,Galeriden,985.000
561,19166687,25 Ağustos 2022,Renault,Fluence,1.5 dCi Business,2012,164.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,1 boyalı,Takasa Uygun Değil,Galeriden,289.000
562,20853307,25 Ağustos 2022,Fiat,Egea,1.3 Multijet Easy,2019,52.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,390.000
563,20164373,25 Ağustos 2022,Renault,Clio,1.4 Expression,2005,113.000 km,Düz,Benzin,Sedan,1390 cc,75 hp,Önden Çekiş,"7,1 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,161.000
564,20853137,25 Ağustos 2022,Fiat,Albea,Sole 1.3 Multijet Dynamic,2011,220.500 km,Düz,Dizel,Sedan,1248 cc,70 hp,Önden Çekiş,"4,7 lt",48 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,137.500
565,20436395,25 Ağustos 2022,BMW,5 Serisi,520i Comfort,2014,115.000 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",70 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,885.000
566,20436163,25 Ağustos 2022,BMW,3 Serisi,316i Comfort,2011,165.000 km,Otomatik,LPG & Benzin,Sedan,1596 cc,116 hp,Arkadan İtiş,"7,9 lt",63 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,419.500
567,20853086,25 Ağustos 2022,Chevrolet,Kalos,1.2 SE,2006,170.000 km,Düz,Benzin,Hatchback/3,1150 cc,72 hp,Önden Çekiş,"6,6 lt",45 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,147.000
568,20853007,25 Ağustos 2022,Ford,C-Max,1.6 TDCi Trend,2013,107.000 km,Düz,Dizel,MPV,1560 cc,115 hp,Önden Çekiş,"4,6 lt",53 lt,"1 değişen, 5 boyalı",Takasa Uygun,Sahibinden,350.000
569,20853023,25 Ağustos 2022,Renault,Symbol,1.5 dCi Authentique,2011,120.000 km,Düz,Dizel,Sedan,1461 cc,65 hp,Önden Çekiş,"4,5 lt",50 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,228.000
570,20287905,25 Ağustos 2022,Honda,Civic,1.6 i-DTEC Elegance,2018,111.000 km,Otomatik,Dizel,Sedan,1597 cc,120 hp,Önden Çekiş,"4,1 lt",46 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,620.000
571,20852951,25 Ağustos 2022,Renault,Megane,1.5 dCi Exception,2009,173.000 km,Düz,Dizel,Sedan,1461 cc,85 hp,Önden Çekiş,"4,7 lt",60 lt,"4 değişen, 2 boyalı",Takasa Uygun,Galeriden,238.000
572,20412980,25 Ağustos 2022,Renault,Clio,1.5 dCi SportTourer Joy,2015,165.000 km,Düz,Dizel,Station wagon,1461 cc,75 hp,Önden Çekiş,4 lt,45 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,285.000
573,20415741,25 Ağustos 2022,Renault,Symbol,0.9 TCe Joy,2019,39.000 km,Düz,Benzin,Sedan,898 cc,90 hp,Önden Çekiş,"5,1 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,315.000
574,20283881,25 Ağustos 2022,Renault,Clio,1.0 TCe Touch,2021,14.011 km,Otomatik,Benzin,Hatchback/5,999 cc,100 hp,Önden Çekiş,5 lt,42 lt,2 boyalı,Takasa Uygun Değil,Yetkili Bayiden,424.750
575,20022211,25 Ağustos 2022,Hyundai,Accent Era,1.4 Team,2010,184.000 km,Düz,LPG & Benzin,Sedan,1399 cc,97 hp,Önden Çekiş,"6,5 lt",45 lt,"2 değişen, 11 boyalı",Takasa Uygun Değil,Sahibinden,179.000
576,20427795,25 Ağustos 2022,Citroen,C3,1.2 PureTech Feel,2022,20.000 km,Düz,Benzin,Hatchback/5,1199 cc,83 hp,Önden Çekiş,"4,2 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,419.900
577,20852508,25 Ağustos 2022,Audi,A5,A5 Sportback 40 TDI Quattro Advanced,2019,53.939 km,Yarı Otomatik,Dizel,-,1968 cc,204 hp,4WD (Sürekli),5 lt,58 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,2.025.000
578,20851815,25 Ağustos 2022,Fiat,Albea,1.3 Multijet Dynamic,2006,159.500 km,Düz,Dizel,Sedan,1248 cc,70 hp,Önden Çekiş,"4,7 lt",48 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,180.000
579,20851591,25 Ağustos 2022,Hyundai,Sonata,2.0 GLS,1996,293.000 km,Otomatik,LPG & Benzin,Sedan,1996 cc,131 hp,Önden Çekiş,0 lt,60 lt,4 boyalı,Takasa Uygun,Galeriden,89.000
580,20851672,25 Ağustos 2022,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2015,188.000 km,Düz,Dizel,Sedan,1582 cc,136 hp,Önden Çekiş,"4,5 lt",43 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,313.000
581,18479127,25 Ağustos 2022,Peugeot,301,1.6 HDi Active,2015,59.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,345.000
582,20851627,25 Ağustos 2022,Toyota,Corolla,1.4 D-4D Touch,2018,90.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,467.500
583,20425147,25 Ağustos 2022,Fiat,Panda,1.2 Fire Urban,2020,22.000 km,Düz,Benzin,Hatchback/5,1242 cc,69 hp,Önden Çekiş,"5,2 lt",37 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,330.000
584,20172959,25 Ağustos 2022,Audi,TT,2.0 TFSI,2008,162.000 km,Yarı Otomatik,Benzin,Roadster,1984 cc,272 hp,Önden Çekiş,8 lt,55 lt,7 boyalı,Takasa Uygun Değil,Sahibinden,670.000
585,20851385,25 Ağustos 2022,Toyota,Auris,1.6 Premium,2014,157.000 km,Otomatik,LPG & Benzin,Hatchback/5,1598 cc,132 hp,Önden Çekiş,"5,7 lt",50 lt,"2 değişen, 2 boyalı",Takasa Uygun,Galeriden,389.000
586,20851357,25 Ağustos 2022,Alfa Romeo,Giulietta,1.6 JTD Progression Plus,2013,243.000 km,Düz,Dizel,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Galeriden,305.000
587,20682028,25 Ağustos 2022,Toyota,Corolla,1.6 Advance,2015,59.000 km,Otomatik,Benzin,Sedan,1598 cc,132 hp,Önden Çekiş,"6,1 lt",55 lt,1 değişen,Takasa Uygun,Galeriden,485.000
588,20851247,25 Ağustos 2022,BMW,5 Serisi,520i Special Edition M Sport,2021,1.300 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,"7,1 lt",68 lt,Belirtilmemiş,Takasa Uygun,Galeriden,2.398.000
589,17048506,25 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Exclusive,2016,99.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,485.000
590,20335707,25 Ağustos 2022,BMW,5 Serisi,520i Luxury Line,2017,95.000 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,"6,5 lt",68 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.525.000
591,20851150,25 Ağustos 2022,Fiat,Egea,1.4 Fire Easy,2020,50.000 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"5,7 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,334.000
592,20851121,25 Ağustos 2022,Mercedes - Benz,Maybach S,S 500,2016,72.600 km,Otomatik,Benzin,Sedan,4663 cc,455 hp,4WD (Sürekli),"9,4 lt",80 lt,Belirtilmemiş,Takasa Uygun,Galeriden,7.300.000
593,20850965,25 Ağustos 2022,Hyundai,Elantra,1.6 CRDi Elite,2015,230.000 km,Otomatik,Dizel,Sedan,1582 cc,136 hp,Önden Çekiş,"5,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,398.900
594,19813149,25 Ağustos 2022,Peugeot,207,1.6 VTi Premium,2008,103.692 km,Otomatik,Benzin,Hatchback/5,1598 cc,122 hp,Önden Çekiş,7 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,275.000
595,20850842,25 Ağustos 2022,Peugeot,308,1.6 THP Feeline Plus,2011,86.000 km,Otomatik,Benzin,-,1598 cc,158 hp,Önden Çekiş,"8,1 lt",60 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,540.000
596,20850820,25 Ağustos 2022,Renault,Symbol,1.5 dCi Joy,2015,153.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt,"2 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,235.000
597,20850927,25 Ağustos 2022,BMW,5 Serisi,520i Executive,2016,110.000 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",70 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.039.750
598,20850762,25 Ağustos 2022,Opel,Corsa,1.3 CDTI Enjoy,2007,255.000 km,Düz,Dizel,Hatchback/3,1248 cc,90 hp,Önden Çekiş,"4,6 lt",45 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,197.000
599,20850776,25 Ağustos 2022,Renault,Megane,1.5 dCi Icon,2017,86.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,560.000
600,20850794,25 Ağustos 2022,BMW,3 Serisi,316,1990,190.000 km,Düz,LPG & Benzin,Sedan,1766 cc,90 hp,Arkadan İtiş,0 lt,0 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,119.000
601,20850398,25 Ağustos 2022,Renault,Fluence,1.5 dCi Privilege,2011,193.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,"2 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,320.000
602,20850633,25 Ağustos 2022,Renault,Megane,1.6 Expression,2004,155.300 km,Otomatik,Benzin,Sedan,1598 cc,107 hp,Önden Çekiş,"7,1 lt",60 lt,"6 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,185.000
603,20230344,25 Ağustos 2022,Fiat,Egea,1.6 Multijet Lounge Plus,2016,82.000 km,Düz,Dizel,Station wagon,1598 cc,120 hp,Önden Çekiş,"3,7 lt",50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,460.000
604,20850224,25 Ağustos 2022,Hyundai,Matrix,1.5 CRDi Select,2008,151.850 km,Düz,Dizel,MPV,1493 cc,110 hp,Önden Çekiş,"5,3 lt",55 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,215.800
605,20850672,25 Ağustos 2022,Ford,Mondeo,2.0 TDCi Ghia,2005,375.000 km,Otomatik,Dizel,Sedan,1998 cc,130 hp,Önden Çekiş,"7,4 lt",58 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,136.900
606,20412643,25 Ağustos 2022,Hyundai,Getz,1.4 DOHC AB AC,2010,59.600 km,Düz,Benzin,Hatchback/5,1399 cc,97 hp,Önden Çekiş,6 lt,45 lt,"2 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,188.000
607,20850664,25 Ağustos 2022,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2017,83.000 km,Yarı Otomatik,Benzin,Sedan,1395 cc,125 hp,Önden Çekiş,5 lt,66 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,733.000
608,20850600,25 Ağustos 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2017,78.500 km,Otomatik,LPG & Benzin,Sedan,1597 cc,125 hp,Önden Çekiş,"6,7 lt",47 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,643.500
609,20850621,25 Ağustos 2022,Skoda,Rapid,1.4 TDI Spaceback Style,2016,62.000 km,Yarı Otomatik,Dizel,Hatchback/5,1422 cc,90 hp,Önden Çekiş,"3,8 lt",55 lt,1 değişen,Takasa Uygun,Sahibinden,497.500
610,20850599,25 Ağustos 2022,Kia,Ceed,1.6 CRDi Cool,2011,195.000 km,Düz,Dizel,Hatchback/5,1582 cc,90 hp,Önden Çekiş,"3,9 lt",53 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,199.500
611,20850490,25 Ağustos 2022,Volkswagen,Polo,1.2 TDi Trendline,2013,143.765 km,Düz,Dizel,Hatchback/5,1199 cc,75 hp,Önden Çekiş,"3,8 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,291.500
612,20850336,25 Ağustos 2022,Opel,Astra,1.6 Enjoy Plus,2010,220.000 km,Yarı Otomatik,LPG & Benzin,Sedan,1598 cc,115 hp,Önden Çekiş,"6,6 lt",52 lt,"1 değişen, 8 boyalı",Takasa Uygun Değil,Sahibinden,270.000
613,20850607,25 Ağustos 2022,Toyota,Auris,1.4 D-4D Touch,2015,95.000 km,Yarı Otomatik,Dizel,Hatchback/5,1364 cc,90 hp,Önden Çekiş,"4,2 lt",50 lt,"2 değişen, 4 boyalı",Takasa Uygun,Galeriden,407.000
614,20850526,25 Ağustos 2022,Renault,Megane,1.5 dCi Icon,2017,127.500 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,520.000
615,20850442,25 Ağustos 2022,Toyota,Corolla,1.4 D-4D Touch,2016,111.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,422.000
